loss,kl,elbo,alpha
1070.3589,0.4906178,1070.3589,0.0
1055.9216,1.443919,1055.9216,0.0
1055.0254,3.0283701,1055.0254,0.0
1038.9292,4.8476667,1038.9292,0.0
1026.272,7.021211,1026.272,0.0
1015.69006,9.181921,1015.69006,0.0
1000.6747,11.493951,1000.6747,0.0
993.7849,12.790889,993.7849,0.0
985.3202,12.949003,985.3202,0.0
979.2512,12.732814,979.2512,0.0
973.1864,13.231292,973.1864,0.0
961.2297,14.281088,961.2297,0.0
964.4944,15.705881,964.4944,0.0
955.57043,17.550865,955.57043,0.0
946.9166,19.674555,946.9166,0.0
939.7385,21.79574,939.7385,0.0
940.7826,23.390722,940.7826,0.0
925.3942,25.147715,925.3942,0.0
924.7738,26.954937,924.7738,0.0
915.8561,28.790272,915.8561,0.0
918.1036,31.07935,918.1036,0.0
910.6697,32.665398,910.6697,0.0
907.3486,34.69094,907.3486,0.0
900.7875,36.717735,900.7875,0.0
892.8122,38.789825,892.8122,0.0
888.6505,40.30224,888.6505,0.0
886.56226,40.48835,886.56226,0.0
878.72534,40.276108,878.72534,0.0
877.8464,40.188644,877.8464,0.0
873.70056,39.337708,873.70056,0.0
863.8346,38.648773,863.8346,0.0
865.7337,38.192513,865.7337,0.0
867.96594,37.715435,867.96594,0.0
872.6758,38.290596,872.6758,0.0
856.4719,40.532963,856.4719,0.0
848.1178,43.12375,848.1178,0.0
852.8929,46.04942,852.8929,0.0
854.1388,49.834824,854.1388,0.0
839.24634,54.153748,839.24634,0.0
834.32446,59.17741,834.32446,0.0
836.33405,63.277504,836.33405,0.0
837.4374,68.37537,837.4374,0.0
832.40564,74.95514,832.40564,0.0
831.0397,77.5251,831.0397,0.0
821.8871,79.5149,821.8871,0.0
830.8658,80.73035,830.8658,0.0
826.4185,82.52384,826.4185,0.0
830.0311,77.48541,830.0311,0.0
816.43066,71.38984,816.43066,0.0
814.44476,66.870285,814.44476,0.0
808.36035,63.34003,808.36035,0.0
816.24634,60.523705,816.24634,0.0
804.32544,55.41541,804.32544,0.0
802.37585,50.12754,802.37585,0.0
807.78577,45.697067,807.78577,0.0
801.1599,40.34425,801.1599,0.0
798.2962,37.016594,798.2962,0.0
799.89764,35.259037,799.89764,0.0
792.6052,33.881657,792.6052,0.0
795.4249,32.92434,795.4249,0.0
792.4564,31.699553,792.4564,0.0
788.5131,30.023916,788.5131,0.0
788.7407,29.110464,788.7407,0.0
783.7595,28.67017,783.7595,0.0
781.8707,28.736366,781.8707,0.0
778.6896,29.236746,778.6896,0.0
778.0189,29.694283,778.0189,0.0
781.91614,30.287638,781.91614,0.0
776.3926,31.163319,776.3926,0.0
772.91254,31.697691,772.91254,0.0
769.5945,32.30608,769.5945,0.0
767.6118,33.07534,767.6118,0.0
767.8972,33.11281,767.8972,0.0
765.80084,33.95821,765.80084,0.0
763.8595,34.797447,763.8595,0.0
763.3025,35.6326,763.3025,0.0
760.1956,36.49241,760.1956,0.0
760.0991,37.327236,760.0991,0.0
758.2572,39.10065,758.2572,0.0
756.7113,41.04442,756.7113,0.0
756.1749,42.87922,756.1749,0.0
755.9358,44.860703,755.9358,0.0
754.5082,46.673096,754.5082,0.0
750.5442,48.642315,750.5442,0.0
749.7848,50.817413,749.7848,0.0
748.4243,52.180107,748.4243,0.0
747.5404,53.864243,747.5404,0.0
747.0181,55.53972,747.0181,0.0
745.24854,57.39574,745.24854,0.0
744.56213,59.216618,744.56213,0.0
742.73566,60.894676,742.73566,0.0
741.37146,62.478214,741.37146,0.0
740.77734,64.786224,740.77734,0.0
741.3898,66.49566,741.3898,0.0
740.8675,68.13864,740.8675,0.0
738.66235,69.49721,738.66235,0.0
738.21375,71.40621,738.21375,0.0
737.07227,73.51181,737.07227,0.0
737.7967,75.4394,737.7967,0.0
735.5741,76.73181,735.5741,0.0
737.8906,78.70789,737.8906,0.0
741.0207,80.698975,741.0207,0.0
734.2217,82.94166,734.2217,0.0
733.0614,84.82378,733.0614,0.0
732.90784,86.91574,732.90784,0.0
733.204,88.14469,733.204,0.0
732.1504,89.23144,732.1504,0.0
731.8779,90.01554,731.8779,0.0
731.43274,90.64632,731.43274,0.0
729.6955,91.28956,729.6955,0.0
728.7942,91.57766,728.7942,0.0
728.7709,91.89311,728.7709,0.0
728.5432,93.03379,728.5432,0.0
729.52563,94.31997,729.52563,0.0
726.1328,95.28385,726.1328,0.0
725.4956,96.16671,725.4956,0.0
724.9082,97.039696,724.9082,0.0
726.1421,97.79851,726.1421,0.0
724.3424,99.09502,724.3424,0.0
723.71594,102.14722,723.71594,0.0
722.5309,105.51058,722.5309,0.0
724.8498,109.23344,724.8498,0.0
722.37604,115.453766,722.37604,0.0
721.13007,122.75519,721.13007,0.0
722.3268,132.65486,722.3268,0.0
720.1623,142.39362,720.1623,0.0
721.228,153.55504,721.228,0.0
723.3871,164.96005,723.3871,0.0
719.3855,177.57874,719.3855,0.0
719.9722,191.1462,719.9722,0.0
718.0377,196.81573,718.0377,0.0
717.37866,202.79477,717.37866,0.0
718.28,205.78584,718.28,0.0
716.3191,233.96053,716.3191,0.0
741.88416,262.41794,741.88416,0.0
723.8739,282.68442,723.8739,0.0
718.03467,272.67984,718.03467,0.0
720.7898,257.5816,720.7898,0.0
723.11475,206.38203,723.11475,0.0
717.3684,159.71483,717.3684,0.0
715.3376,132.69275,715.3376,0.0
714.93823,119.36102,714.93823,0.0
713.8507,112.011734,713.8507,0.0
713.143,108.323204,713.143,0.0
713.24634,106.53026,713.24634,0.0
712.1736,105.75998,712.1736,0.0
711.49615,105.24844,711.49615,0.0
711.16187,104.911575,711.16187,0.0
711.36597,104.82048,711.36597,0.0
710.73474,104.81406,710.73474,0.0
709.93933,105.032906,709.93933,0.0
709.33057,104.58469,709.33057,0.0
709.44653,104.18646,709.44653,0.0
709.78186,103.863464,709.78186,0.0
708.20667,103.5719,708.20667,0.0
707.9854,103.32149,707.9854,0.0
707.69073,103.48644,707.69073,0.0
707.31024,103.66947,707.31024,0.0
706.88293,103.85562,706.88293,0.0
706.72986,104.01421,706.72986,0.0
705.8903,103.837395,705.8903,0.0
705.768,103.896194,705.768,0.0
705.8562,104.66055,705.8562,0.0
705.54614,104.87085,705.54614,0.0
705.2584,105.13855,705.2584,0.0
704.6567,106.054985,704.6567,0.0
704.0192,106.93308,704.0192,0.0
703.74646,107.80435,703.74646,0.0
703.3795,109.78666,703.3795,0.0
703.66583,111.70927,703.66583,0.0
702.9064,113.5641,702.9064,0.0
702.52466,115.315445,702.52466,0.0
702.4983,116.95068,702.4983,0.0
701.6642,118.46262,701.6642,0.0
701.68713,119.7108,701.68713,0.0
702.81836,120.90757,702.81836,0.0
701.8939,121.57093,701.8939,0.0
701.48596,122.40317,701.48596,0.0
701.0139,123.635864,701.0139,0.0
701.14966,125.05496,701.14966,0.0
700.4819,126.50117,700.4819,0.0
699.7398,128.05324,699.7398,0.0
699.2357,128.80469,699.2357,0.0
699.37415,129.57364,699.37415,0.0
698.0338,130.30432,698.0338,0.0
703.545,131.72229,703.545,0.0
698.3091,129.9346,698.3091,0.0
697.63184,128.02716,697.63184,0.0
696.44446,126.94113,696.44446,0.0
696.15564,125.839775,696.15564,0.0
695.6351,125.01519,695.6351,0.0
695.301,123.9757,695.301,0.0
694.9929,123.17099,694.9929,0.0
694.93335,122.61285,694.93335,0.0
693.76355,122.154854,693.76355,0.0
693.35095,121.77039,693.35095,0.0
692.63104,121.48066,692.63104,0.0
692.6323,121.244095,692.6323,0.0
692.0921,121.05627,692.0921,0.0
691.8347,120.90377,691.8347,0.0
